id,relationship,is_appropriate,label,quote,origin
594,married,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,coworker,No,1,She thought it was funny... but the animals she was butchering didn't.,Adjudication
594,old_friend,Yes,0,She thought it was funny... but the animals she was butchering didn't.,Adjudication
153,colleague,No,1,Is English your first language? Just wondering.,Adjudication
153,engaged,No,1,Is English your first language? Just wondering.,Adjudication
153,law_enforcement,No,1,Is English your first language? Just wondering.,Adjudication
153,best_friend,Yes,0,Is English your first language? Just wondering.,Adjudication
153,neighbor,No,1,Is English your first language? Just wondering.,Adjudication
153,mentee,No,1,Is English your first language? Just wondering.,Adjudication
153,child,No,1,Is English your first language? Just wondering.,Adjudication
153,parent,No,1,Is English your first language? Just wondering.,Adjudication
153,childhood_friend,No,1,Is English your first language? Just wondering.,Adjudication
153,teacher,No,1,Is English your first language? Just wondering.,Adjudication
153,adopted_child,Yes,0,Is English your first language? Just wondering.,Adjudication
153,boss,No,1,Is English your first language? Just wondering.,Adjudication
153,sibling,No,1,Is English your first language? Just wondering.,Adjudication
153,grandchild,Yes,0,Is English your first language? Just wondering.,Adjudication
153,friend,Yes,0,Is English your first language? Just wondering.,Adjudication
153,doctor,Yes,0,Is English your first language? Just wondering.,Adjudication
153,step_sibling,Yes,0,Is English your first language? Just wondering.,Adjudication
153,employee_in_large_company,No,1,Is English your first language? Just wondering.,Adjudication
153,person_with_authority,No,1,Is English your first language? Just wondering.,Adjudication
153,neice_nephew,No,1,Is English your first language? Just wondering.,Adjudication
153,complete_stranger,No,1,Is English your first language? Just wondering.,Adjudication
153,acquaintance,No,1,Is English your first language? Just wondering.,Adjudication
153,friends_with_benefits,No,1,Is English your first language? Just wondering.,Adjudication
153,sports_teammate,No,1,Is English your first language? Just wondering.,Adjudication
153,dating,Yes,0,Is English your first language? Just wondering.,Adjudication
153,person_having_an_affair,Yes,0,Is English your first language? Just wondering.,Adjudication
153,direct_report,No,1,Is English your first language? Just wondering.,Adjudication
153,mentor,No,1,Is English your first language? Just wondering.,Adjudication
153,domestic_partner,No,1,Is English your first language? Just wondering.,Adjudication
153,student,No,1,Is English your first language? Just wondering.,Adjudication
153,club_member,No,1,Is English your first language? Just wondering.,Adjudication
153,lawyer,Yes,0,Is English your first language? Just wondering.,Adjudication
153,cousins,No,1,Is English your first language? Just wondering.,Adjudication
153,uncle_aunt,Yes,0,Is English your first language? Just wondering.,Adjudication
153,classmate,No,1,Is English your first language? Just wondering.,Adjudication
153,married,No,1,Is English your first language? Just wondering.,Adjudication
153,coworker,No,1,Is English your first language? Just wondering.,Adjudication
153,old_friend,Yes,0,Is English your first language? Just wondering.,Adjudication
2438,ex_dating,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,colleague,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,engaged,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,best_friend,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,neighbor,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,mentee,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,child,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,parent,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,childhood_friend,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,teacher,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,adopted_child,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,boss,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,grandparent,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,sibling,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,divorcee,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,grandchild,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,friend,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,step_sibling,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,employee_in_large_company,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,neice_nephew,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,complete_stranger,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,acquaintance,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,friends_with_benefits,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,sports_teammate,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,dating,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,person_having_an_affair,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,direct_report,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,mentor,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,domestic_partner,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,student,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,club_member,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,cousins,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,uncle_aunt,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,classmate,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,married,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,coworker,Yes,0,It doesn't really come across as complaining.,Adjudication
2438,old_friend,Yes,0,It doesn't really come across as complaining.,Adjudication
2583,ex_dating,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,colleague,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,engaged,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,best_friend,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,neighbor,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,mentee,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,child,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,parent,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,childhood_friend,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,teacher,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,adopted_child,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,boss,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,grandparent,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,sibling,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,divorcee,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,grandchild,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,friend,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,doctor,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,step_sibling,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,employee_in_large_company,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,neice_nephew,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,patient,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,complete_stranger,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,acquaintance,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,friends_with_benefits,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,dating,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,direct_report,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,mentor,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,domestic_partner,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,student,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,cousins,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,uncle_aunt,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,classmate,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,married,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,coworker,No,1,Why don't you think woman should be allowed to have an abortion?,Adjudication
2583,old_friend,Yes,0,Why don't you think woman should be allowed to have an abortion?,Adjudication
761,ex_dating,Yes,0,I wish there was sound..,Adjudication
761,colleague,Yes,0,I wish there was sound..,Adjudication
761,engaged,Yes,0,I wish there was sound..,Adjudication
761,best_friend,Yes,0,I wish there was sound..,Adjudication
761,neighbor,Yes,0,I wish there was sound..,Adjudication
761,mentee,Yes,0,I wish there was sound..,Adjudication
761,child,Yes,0,I wish there was sound..,Adjudication
761,parent,Yes,0,I wish there was sound..,Adjudication
761,childhood_friend,Yes,0,I wish there was sound..,Adjudication
761,teacher,Yes,0,I wish there was sound..,Adjudication
761,adopted_child,Yes,0,I wish there was sound..,Adjudication
761,boss,Yes,0,I wish there was sound..,Adjudication
761,grandparent,Yes,0,I wish there was sound..,Adjudication
761,sibling,Yes,0,I wish there was sound..,Adjudication
761,divorcee,Yes,0,I wish there was sound..,Adjudication
761,grandchild,Yes,0,I wish there was sound..,Adjudication
761,friend,Yes,0,I wish there was sound..,Adjudication
761,step_sibling,Yes,0,I wish there was sound..,Adjudication
761,employee_in_large_company,Yes,0,I wish there was sound..,Adjudication
761,neice_nephew,Yes,0,I wish there was sound..,Adjudication
761,complete_stranger,Yes,0,I wish there was sound..,Adjudication
761,acquaintance,Yes,0,I wish there was sound..,Adjudication
761,friends_with_benefits,Yes,0,I wish there was sound..,Adjudication
761,dating,Yes,0,I wish there was sound..,Adjudication
761,person_having_an_affair,Yes,0,I wish there was sound..,Adjudication
761,direct_report,Yes,0,I wish there was sound..,Adjudication
761,mentor,Yes,0,I wish there was sound..,Adjudication
761,domestic_partner,Yes,0,I wish there was sound..,Adjudication
761,student,Yes,0,I wish there was sound..,Adjudication
761,cousins,Yes,0,I wish there was sound..,Adjudication
761,uncle_aunt,Yes,0,I wish there was sound..,Adjudication
761,married,Yes,0,I wish there was sound..,Adjudication
761,coworker,Yes,0,I wish there was sound..,Adjudication
761,old_friend,Yes,0,I wish there was sound..,Adjudication
1507,colleague,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,boss,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,law_enforcement,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,employee_in_large_company,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,person_with_authority,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,competitor,No,1,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,coworker,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
1507,direct_report,Yes,0,We investigated ourselves and determined we did nothing wrong.,Adjudication
2766,ex_dating,Yes,0,What am i looking at?,Adjudication
2766,colleague,Yes,0,What am i looking at?,Adjudication
2766,engaged,Yes,0,What am i looking at?,Adjudication
2766,law_enforcement,Yes,0,What am i looking at?,Adjudication
2766,best_friend,Yes,0,What am i looking at?,Adjudication
2766,neighbor,Yes,0,What am i looking at?,Adjudication
2766,client,Yes,0,What am i looking at?,Adjudication
2766,mentee,Yes,0,What am i looking at?,Adjudication
2766,child,Yes,0,What am i looking at?,Adjudication
2766,parent,Yes,0,What am i looking at?,Adjudication
2766,childhood_friend,Yes,0,What am i looking at?,Adjudication
2766,teacher,Yes,0,What am i looking at?,Adjudication
2766,landlord,Yes,0,What am i looking at?,Adjudication
2766,adopted_child,Yes,0,What am i looking at?,Adjudication
2766,boss,Yes,0,What am i looking at?,Adjudication
2766,grandparent,Yes,0,What am i looking at?,Adjudication
2766,sibling,Yes,0,What am i looking at?,Adjudication
2766,divorcee,Yes,0,What am i looking at?,Adjudication
2766,grandchild,Yes,0,What am i looking at?,Adjudication
2766,friend,Yes,0,What am i looking at?,Adjudication
2766,doctor,Yes,0,What am i looking at?,Adjudication
2766,step_sibling,Yes,0,What am i looking at?,Adjudication
2766,employee_in_large_company,Yes,0,What am i looking at?,Adjudication
2766,person_with_authority,Yes,0,What am i looking at?,Adjudication
2766,neice_nephew,Yes,0,What am i looking at?,Adjudication
2766,patient,Yes,0,What am i looking at?,Adjudication
2766,complete_stranger,Yes,0,What am i looking at?,Adjudication
2766,acquaintance,Yes,0,What am i looking at?,Adjudication
2766,friends_with_benefits,Yes,0,What am i looking at?,Adjudication
2766,sports_teammate,Yes,0,What am i looking at?,Adjudication
2766,dating,Yes,0,What am i looking at?,Adjudication
2766,person_having_an_affair,Yes,0,What am i looking at?,Adjudication
2766,direct_report,Yes,0,What am i looking at?,Adjudication
2766,mentor,Yes,0,What am i looking at?,Adjudication
2766,domestic_partner,Yes,0,What am i looking at?,Adjudication
2766,student,Yes,0,What am i looking at?,Adjudication
2766,club_member,Yes,0,What am i looking at?,Adjudication
2766,lawyer,Yes,0,What am i looking at?,Adjudication
2766,cousins,Yes,0,What am i looking at?,Adjudication
2766,uncle_aunt,Yes,0,What am i looking at?,Adjudication
2766,classmate,Yes,0,What am i looking at?,Adjudication
2766,married,Yes,0,What am i looking at?,Adjudication
2766,coworker,Yes,0,What am i looking at?,Adjudication
2766,old_friend,Yes,0,What am i looking at?,Adjudication
2917,parent,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,childhood_friend,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,friend,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,child,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,adopted_child,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,club_member,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,sibling,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,step_sibling,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,best_friend,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,cousins,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,neighbor,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,old_friend,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
2917,sports_teammate,Yes,0,Sure he can but he cant be captain and do that.,Adjudication
25,ex_dating,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,colleague,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,engaged,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,best_friend,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,neighbor,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,mentee,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,child,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,parent,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,childhood_friend,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,teacher,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,adopted_child,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,boss,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,grandparent,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,sibling,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,divorcee,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,grandchild,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,friend,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,step_sibling,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,employee_in_large_company,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,neice_nephew,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,complete_stranger,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,acquaintance,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,friends_with_benefits,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,sports_teammate,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,dating,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,person_having_an_affair,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,direct_report,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,mentor,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,domestic_partner,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,student,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,club_member,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,cousins,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,uncle_aunt,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,classmate,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,married,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,coworker,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
25,old_friend,Yes,0,Oh I bet Greta would LOVE to see that!,Adjudication
2686,ex_dating,Yes,0,What were they gonna walk home?,Adjudication
2686,colleague,Yes,0,What were they gonna walk home?,Adjudication
2686,engaged,Yes,0,What were they gonna walk home?,Adjudication
2686,best_friend,Yes,0,What were they gonna walk home?,Adjudication
2686,neighbor,Yes,0,What were they gonna walk home?,Adjudication
2686,child,Yes,0,What were they gonna walk home?,Adjudication
2686,parent,Yes,0,What were they gonna walk home?,Adjudication
2686,childhood_friend,Yes,0,What were they gonna walk home?,Adjudication
2686,adopted_child,Yes,0,What were they gonna walk home?,Adjudication
2686,boss,Yes,0,What were they gonna walk home?,Adjudication
2686,grandparent,Yes,0,What were they gonna walk home?,Adjudication
2686,sibling,Yes,0,What were they gonna walk home?,Adjudication
2686,divorcee,Yes,0,What were they gonna walk home?,Adjudication
2686,grandchild,Yes,0,What were they gonna walk home?,Adjudication
2686,friend,Yes,0,What were they gonna walk home?,Adjudication
2686,step_sibling,Yes,0,What were they gonna walk home?,Adjudication
2686,employee_in_large_company,Yes,0,What were they gonna walk home?,Adjudication
2686,neice_nephew,Yes,0,What were they gonna walk home?,Adjudication
2686,friends_with_benefits,Yes,0,What were they gonna walk home?,Adjudication
2686,sports_teammate,Yes,0,What were they gonna walk home?,Adjudication
2686,dating,Yes,0,What were they gonna walk home?,Adjudication
2686,person_having_an_affair,Yes,0,What were they gonna walk home?,Adjudication
2686,direct_report,Yes,0,What were they gonna walk home?,Adjudication
2686,domestic_partner,Yes,0,What were they gonna walk home?,Adjudication
2686,club_member,Yes,0,What were they gonna walk home?,Adjudication
2686,cousins,Yes,0,What were they gonna walk home?,Adjudication
2686,uncle_aunt,Yes,0,What were they gonna walk home?,Adjudication
2686,married,Yes,0,What were they gonna walk home?,Adjudication
2686,coworker,Yes,0,What were they gonna walk home?,Adjudication
2686,old_friend,Yes,0,What were they gonna walk home?,Adjudication
2768,ex_dating,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,colleague,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,engaged,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,best_friend,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,neighbor,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,child,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,parent,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,childhood_friend,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,teacher,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,adopted_child,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,boss,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,grandparent,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,sibling,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,divorcee,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,grandchild,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,friend,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,step_sibling,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,employee_in_large_company,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,neice_nephew,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,acquaintance,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,friends_with_benefits,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,sports_teammate,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,dating,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,person_having_an_affair,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,direct_report,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,domestic_partner,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,club_member,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,cousins,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,uncle_aunt,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,classmate,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,married,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,coworker,Yes,0,It didnt die a year ago it died years ago.,Adjudication
2768,old_friend,Yes,0,It didnt die a year ago it died years ago.,Adjudication
941,colleague,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,engaged,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,best_friend,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,neighbor,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,child,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,parent,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,childhood_friend,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,teacher,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,adopted_child,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,boss,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,grandparent,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,grandchild,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,friend,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,step_sibling,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,employee_in_large_company,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,person_with_authority,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,neice_nephew,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,acquaintance,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,friends_with_benefits,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,sports_teammate,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,dating,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,person_having_an_affair,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,direct_report,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,mentor,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,domestic_partner,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,club_member,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,cousins,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,uncle_aunt,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,classmate,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,married,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,coworker,Yes,0,I sorta feel where hes coming from though.,Adjudication
941,old_friend,Yes,0,I sorta feel where hes coming from though.,Adjudication
907,colleague,No,1,And now where is that career?,Adjudication
907,engaged,Yes,0,And now where is that career?,Adjudication
907,best_friend,Yes,0,And now where is that career?,Adjudication
907,child,Yes,0,And now where is that career?,Adjudication
907,parent,Yes,0,And now where is that career?,Adjudication
907,childhood_friend,Yes,0,And now where is that career?,Adjudication
907,teacher,Yes,0,And now where is that career?,Adjudication
907,adopted_child,Yes,0,And now where is that career?,Adjudication
907,boss,No,1,And now where is that career?,Adjudication
907,grandparent,Yes,0,And now where is that career?,Adjudication
907,sibling,Yes,0,And now where is that career?,Adjudication
907,grandchild,Yes,0,And now where is that career?,Adjudication
907,friend,Yes,0,And now where is that career?,Adjudication
907,step_sibling,Yes,0,And now where is that career?,Adjudication
907,employee_in_large_company,No,1,And now where is that career?,Adjudication
907,neice_nephew,Yes,0,And now where is that career?,Adjudication
907,friends_with_benefits,Yes,0,And now where is that career?,Adjudication
907,dating,Yes,0,And now where is that career?,Adjudication
907,direct_report,No,1,And now where is that career?,Adjudication
907,mentor,Yes,0,And now where is that career?,Adjudication
907,domestic_partner,Yes,0,And now where is that career?,Adjudication
907,cousins,Yes,0,And now where is that career?,Adjudication
907,uncle_aunt,Yes,0,And now where is that career?,Adjudication
907,married,Yes,0,And now where is that career?,Adjudication
907,coworker,No,1,And now where is that career?,Adjudication
907,old_friend,Yes,0,And now where is that career?,Adjudication
583,ex_dating,Yes,0,My cousin does this. It's so gross.,Adjudication
583,colleague,No,1,My cousin does this. It's so gross.,Adjudication
583,engaged,Yes,0,My cousin does this. It's so gross.,Adjudication
583,best_friend,Yes,0,My cousin does this. It's so gross.,Adjudication
583,neighbor,Yes,0,My cousin does this. It's so gross.,Adjudication
583,child,Yes,0,My cousin does this. It's so gross.,Adjudication
583,parent,Yes,0,My cousin does this. It's so gross.,Adjudication
583,childhood_friend,Yes,0,My cousin does this. It's so gross.,Adjudication
583,adopted_child,Yes,0,My cousin does this. It's so gross.,Adjudication
583,boss,No,1,My cousin does this. It's so gross.,Adjudication
583,sibling,Yes,0,My cousin does this. It's so gross.,Adjudication
583,divorcee,Yes,0,My cousin does this. It's so gross.,Adjudication
583,friend,Yes,0,My cousin does this. It's so gross.,Adjudication
583,step_sibling,Yes,0,My cousin does this. It's so gross.,Adjudication
583,employee_in_large_company,No,1,My cousin does this. It's so gross.,Adjudication
583,neice_nephew,Yes,0,My cousin does this. It's so gross.,Adjudication
